,1,2,3,4,5,6
1,30885.353242172794,9521.864173129798,25104.262750103288,8660.79088513969,4154.673651226029,9256.629232676547
2,6654.165651020409,12747.422313500829,19157.421699454117,40707.797342282065,26720.94745184578,8629.948016830635
3,39629.251671544174,10513.6144976078,20447.663109979396,16010.69139396905,28415.38879273502,5317.305008854956
4,6924.287847963213,30322.844236878922,11054.68738384306,12359.412399915343,26362.765031557075,31832.382994943608
5,24180.97783324943,8152.486802517887,28932.07744814402,31387.58564522752,4046.180005635285,24582.16096434278
6,14745.37216208906,15533.834436016137,17928.22432451839,11270.16355372071,18443.33974221878,33836.612929333394
7,9320.70023112551,9314.98934355067,13255.4150773927,11768.054268869786,22375.09006353048,18841.017057311055
8,13080.404584082322,5698.292262980641,29087.735946624496,24803.804499308186,8824.68355532075,15463.026252905545
9,30965.81188374132,6890.263769891477,16746.638035975313,23052.811282581217,18829.59032508108,10313.351400347528
10,33773.12229315432,14790.540987887593,26153.30967620103,4063.9880252443427,20693.741746939882,22349.67704333004
11,39191.99318339755,7311.641612893176,23573.23572144304,12597.186530613797,8454.558836533726,17655.735585234404
12,20625.07099799915,10697.279227133427,10968.358809648347,16113.924277034894,4890.489241526944,32046.927331620846
13,21873.21940976241,14846.082580541788,40137.16317934026,8900.025235212936,10468.90558827728,21376.712352907027
14,12991.620512168216,15450.820674768873,9764.097123163554,32804.24166357646,17391.765385043473,36067.50797251206
15,19025.346064109166,8588.81549887966,10839.55388200904,16036.38207109592,20717.41971104716,15232.230606578345
16,12119.763425994912,35822.46147259612,8918.963229139794,25588.177665134113,19435.780593750387,21173.778726415152
17,12340.607083781942,17709.55203166063,15740.683734359542,7126.131898441142,9832.868980668625,32185.868417177924
18,7047.962739397198,6378.159944630601,11885.468551620372,23188.489490880656,25369.77301524851,14299.106521290298
19,23006.64969269382,10550.23781636246,14028.730197720924,28565.819382999453,13086.081349203654,21058.58719617972
20,6741.283954137745,9520.777412742233,4652.875974833068,22187.921307416655,32747.202074201436,20212.10192637781
21,8430.188958499946,29258.32466255856,14569.660502558938,26509.55403190538,26168.875615701072,9707.035449283841
22,18746.644682519247,5904.476589914159,23321.462159812298,19064.64361344006,10450.932707686514,24133.659378995635
23,16947.159703508452,15578.132422037626,23138.33288011121,7910.992767523272,24547.024187038343,39656.8160277948
24,19541.215799135724,9475.983694839328,9186.753323044291,25155.343042359356,28447.422814234164,27574.505446139177
25,19492.649516322977,16360.471159526836,22599.926252801317,11580.273719320465,7470.672328695055,19959.212739912615
