1,69263.38038185175
2,53184.867828136135
3,45955.168720978254
4,54125.77220272293
5,53856.17817285204
6,66339.65697062554
7,50121.66421865687
8,46948.529771715934
9,40985.25525631733
10,63564.970404130494
11,65412.12219288931
12,66512.4284418565
13,44175.858058798774
14,54368.83530333824
15,56189.95438743327
16,49124.13340467334
17,42025.69576124675
18,55965.057035600505
19,47444.306858856304
20,53130.14918092711
21,42679.93019185968
22,49339.067868884355
23,65651.54718508976
24,45045.111709159486
25,43388.522882077705
