1,22033.142559083448
2,21423.72492040728
3,21512.66763647081
4,22003.699507848334
5,21717.957008476904
6,21541.181733508893
7,21340.38250196815
8,21343.968943351854
9,21510.403344676586
10,22243.460316785528
11,22181.096114572654
12,21477.40510648982
13,21984.625788925216
14,22076.34260116577
15,21278.610746695
16,21320.146186181366
17,22329.65032930795
18,21724.484755303554
19,21262.107960611535
20,21453.538741481607
21,21652.313489432196
22,21304.740197251696
23,21749.445481945644
24,21451.337847392468
25,21803.411777147485
26,21392.340081786686
27,22036.910020878946
28,22250.356638903784
29,22349.431098229525
30,22407.613027075047
