1,1063771.383894133
2,690760.6002910122
3,621144.5375201219
4,888244.0639894588
5,731841.1962364726
6,407274.5908140938
7,684383.8918050884
8,426841.4760740168
9,850648.408624512
10,867649.1565844861
11,461911.57429793256
12,609671.094279903
13,866212.782784737
14,637154.3627417611
15,415201.8340498235
16,950948.2527928351
17,1022168.1877949632
18,1037929.0388051922
19,971756.1051203184
20,454269.1323625186
21,893808.971366005
22,767992.0632835652
23,802354.5173351197
24,480316.75823240296
25,740864.5157750761
26,846979.3951167447
27,708525.5381754867
28,418644.7825655597
29,843463.9462387812
30,411620.4888990048
