,1,2,3,4,5,6,7,8,9,10
1,16.729467042358486,17.82983128367545,17.735993825361994,17.251787740761554,18.7391029017122,16.657882286732367,19.462387284286713,15.340166111535437,17.874447963625403,16.6952628847587
2,16.819501724438968,16.525489471238043,18.01793149755267,16.17203964766924,16.471530998452096,16.427472952724763,15.033977226705836,16.85809254726956,15.244486755862306,19.371881062602032
3,18.609113157017138,17.976535522636695,18.71939167494301,19.505470418957568,18.470452816852273,17.953781585642638,15.621296218127256,17.022913257610938,17.894756241304535,18.014221829095664
4,19.80388918391928,16.027501605377626,18.315756637815003,16.28214570330725,17.088806212552235,19.859752310547666,16.65538715295527,16.810115826877702,17.197842242324718,15.203338949445783
5,16.992851192522142,18.094925497853843,17.890399934251167,19.367063638943883,18.205932789075884,17.784779723396653,18.203235785360516,15.238083917053196,19.980606742792528,15.758527088097335
6,17.09223443367713,16.476257350718456,17.886084470478174,17.797805117238077,16.760571621298865,19.8681473199053,18.756358195397336,19.44920681467113,17.27705097680649,17.997030443172275
7,17.067266378778893,16.521275827200007,17.62735285375546,15.954836544639964,16.070508619677256,17.55393709156454,15.069260372482594,17.227435543374906,19.98350335676791,19.11341490574953
8,15.41730273243445,18.279451585080835,16.126964650153887,15.589779261312195,16.743386313963065,18.385834089662453,17.753822802614362,15.219813317657877,19.283771346735406,17.38797511805003
9,19.283881124341992,15.93827005777489,15.418666330752057,17.5798483102075,17.27272331498311,15.069471994949238,15.196772948453832,15.46816417865679,15.203387399611342,15.87869533672081
10,17.877680755555005,17.38376309983255,19.898848664308044,15.353685670081708,19.337078160503793,17.89259891070069,19.382377728562858,15.278568051765674,15.495767607108018,19.315473588734772
