,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,2023.362350928597,2066.575139629175,2035.102015400577,2081.9720195451027,2066.1154900807733,2062.435110274416,2042.0277839786502,2064.500228286452,2087.483065473971,2031.1272653538338,2034.275202723104,2084.8679156518333,2052.9894112845495,2092.368808720727,2018.7552947734391,2021.4873261323796,2086.2458745732056,2009.9490380954169,2047.1662375290518,2083.940355927512,2069.373660357726,2046.2241484501935,2016.519849415031,2055.081589183731,2098.797866887774,2080.5157544665635,2005.492883405726,2071.0928376194684,2097.6616274568014,2019.337392355409,2095.640770632153,2023.3345547273154,2081.9397822459246,2014.941868419133,2051.410473813716,2036.401468313427,2067.0687526949646,2017.9117090301709,2057.9748340852307,2000.2423687653834
2,2042.5654235232305,2051.579320900155,2083.779659981721,2075.7637663778896,2009.189163910542,2062.5033667374405,2066.000288620214,2073.4028736033024,2055.486003469535,2010.7355509900624,2064.0347780647207,2067.0530852990064,2025.0106991551986,2094.827526011532,2045.2649115070922,2086.671563888291,2065.3081092620782,2061.6535109329147,2054.9400879797136,2064.756746021714,2084.4335250083113,2077.687882343696,2067.262746644436,2003.1845333671981,2000.8694772330518,2035.8537644993805,2003.0633821197807,2051.7847453238824,2000.355390080352,2048.0730399442564,2037.7608612442664,2095.7464037952186,2005.5853549992573,2006.5190973253605,2084.926654724442,2079.5257878233906,2093.584615217167,2007.8236648596205,2062.0099774481255,2051.4404873778467
3,2032.1574044864929,2061.0811450593287,2091.8077788485157,2006.256550648241,2065.9726140183834,2028.5171506428626,2040.544769147759,2084.969453446,2012.1729505377973,2084.297107360138,2040.4242744363316,2098.38874787321,2091.8015661505287,2040.7674382738408,2029.7920308091566,2022.0946383164332,2021.7735939619497,2076.8738064246604,2075.544248186297,2097.8253231371104,2008.3309771887227,2022.0183380355004,2098.371093593227,2054.6374378851183,2055.3670415566557,2034.877099529778,2070.3786435945376,2049.976378133826,2046.9493261129564,2054.97728445803,2002.5180201472594,2053.1260639371753,2013.2964560833736,2045.8929094221762,2008.2271202398695,2088.8961649120884,2037.842560475225,2043.0354710421761,2074.2061181625445,2015.5774519383408
4,2057.502369192143,2051.1047750732555,2036.8303577674774,2068.3335516406005,2079.448620279123,2046.7684493193897,2062.7351105797297,2091.2539116819003,2045.6971862339394,2013.5019947154478,2054.3233094369516,2043.0028055593036,2076.831307999407,2079.7674610834306,2017.1845971871528,2043.7938936320602,2026.6820994833954,2095.4689224603926,2093.687213387372,2043.4348751981497,2043.1010687816217,2074.647715049664,2059.597594957556,2025.9070986594322,2048.31700652315,2089.0108376680096,2068.155409181953,2056.3126528288885,2087.6753924425975,2027.6276382664523,2099.6847475399754,2019.9839833323085,2083.9793527917022,2074.234196079167,2086.4053917405154,2058.491757448167,2023.2381263876941,2048.3519931314713,2086.237521358256,2079.780450467817
5,2017.3510536852273,2099.2209928883653,2003.0412241187366,2039.2648463279659,2075.4401315327796,2097.3739682897926,2014.212664213404,2092.404054865323,2021.9023954553102,2055.263854681423,2043.2807469754364,2080.8055104511423,2013.856958091206,2019.0869921165836,2056.7512504562396,2020.9951683382146,2087.999264855447,2057.8353004514615,2091.1755104974854,2076.434158236065,2047.4943139113589,2069.2408298434993,2005.9802201257983,2063.1258531256353,2098.404726438354,2011.9384480229864,2045.1566673952075,2001.853394470038,2068.81278584236,2001.942263144468,2045.527222022853,2021.9150410165682,2080.7215496096937,2064.5637406758506,2066.6268828894063,2054.9891106258046,2025.0446403074704,2081.5691024250173,2088.0119955449127,2043.8317098996436
6,2058.632981505566,2062.4300424305366,2072.760555973771,2059.090374918859,2080.659757657485,2082.4088078962754,2055.655036545213,2088.2953804190033,2020.2938642047466,2041.3615433707173,2063.010984934814,2010.257269717212,2071.8643620785174,2047.9683337774059,2037.8993837107876,2045.1846707333932,2036.7586155309539,2023.9538043891118,2091.587242573871,2079.9362294910707,2033.3940021387461,2016.9051671589427,2011.6626226140213,2079.5332848076823,2070.2028228483523,2007.523265514119,2011.6593989666253,2091.380403369724,2086.9771393913807,2029.1952444437504,2010.1999969458545,2080.8891381538515,2002.617366420023,2063.6347695922127,2016.0087014791359,2069.162442870053,2016.8019696155914,2034.9048727297393,2012.2086916318615,2028.708703101541
7,2012.9097362647583,2046.3386171191166,2064.94077303326,2039.451056866238,2095.2958501459225,2075.486539074175,2054.4375330738844,2056.3522891938615,2032.0603953308143,2051.2519766949795,2075.7811697191473,2000.1809625475787,2048.0591897375616,2090.4156541034363,2084.9500214007485,2022.0995434551642,2073.6236442077643,2058.487363665373,2052.5536114323495,2066.1444512850285,2063.2067612518017,2007.1417397812384,2041.6842235699762,2019.9297220814833,2070.058344079673,2027.3310332169476,2043.6419434407528,2082.1625647211276,2078.3062987401518,2085.4160149828253,2047.905384517816,2092.649473999973,2003.1554688057465,2093.8283246344054,2034.8628792581862,2081.282307669254,2094.832109692178,2089.1814071682084,2069.801911737347,2067.0183139460287
8,2097.3577972773014,2046.5108735048677,2010.4017061687616,2002.4147416974372,2088.1300204274653,2002.6191019576293,2095.082798929799,2056.9917642393184,2065.7567931706285,2090.9170421043423,2090.1952282506063,2039.0855031377848,2061.2539471741334,2052.183535173648,2081.704122134026,2005.6182812918519,2062.697544763105,2042.9738375018603,2086.0930796881653,2068.786652802737,2026.1024605483192,2013.4238750930383,2054.13416794772,2098.1899402015865,2034.9907255365283,2099.5411748899132,2051.8075223945075,2019.0337288809972,2003.0615652251986,2030.302306747084,2003.5078164649756,2059.0051124984575,2070.162053599018,2066.998786194305,2035.6209842177652,2011.1644728490778,2064.1320190861647,2006.3197316284065,2064.436320113995,2083.528888212186
9,2005.7159041381374,2035.586969385806,2061.87194242936,2063.8600787950913,2019.7938742811639,2062.3362852098203,2055.7540637654747,2088.571776373417,2069.7025447018004,2036.4263100436322,2022.5347563063976,2061.090913672433,2025.5565373706338,2007.5813306263847,2082.2702104278646,2022.79522987325,2037.9552820846563,2084.648738094285,2010.3150650873476,2096.93897831388,2052.2823738989746,2067.333650231428,2073.153043066932,2098.09788050098,2055.2756977405056,2069.97243444153,2068.2686321302635,2063.023314118336,2079.9344961723086,2034.5654499497584,2048.1891832243155,2007.8122539091032,2091.0105838329464,2055.922574080978,2052.4986167070556,2026.6951889825314,2089.999288557867,2001.3913568177827,2009.7001136100337,2006.0074924973712
10,2024.0922342563993,2049.68492094619,2046.3524047411238,2027.054620910271,2055.510918683347,2022.7335146551327,2036.5696296781866,2016.9963117656916,2066.4272579170292,2008.1667181500045,2034.3288689487842,2053.102531774363,2054.9530082217375,2036.7654358738841,2064.375203971134,2016.4448079972653,2072.429716502345,2092.5249655897346,2098.982593760481,2087.8482557589273,2026.091886164908,2003.809333265392,2097.402576504414,2055.7119892123683,2053.970997919376,2014.646113303115,2091.2492177539334,2095.7609588337336,2085.962989507258,2069.2760465061097,2038.5901348643677,2092.672788199168,2085.446639824031,2083.788624030577,2058.405689306153,2006.9977467649148,2002.5654775714231,2022.560211969898,2009.2302327815514,2074.5105392777664
