,1,2,3,4
1,44186.13541428496,64575.46656839205,389605.99368700455,163084.34773371762
2,401256.5288270073,213679.16622025805,320438.96081512264,183743.44373687566
3,228846.0089823715,403537.2030362164,181522.92708618965,74544.75870656938
4,334341.29950732493,264706.58043834945,261845.80312804476,412728.0933228478
5,637634.6783729387,282821.53717588505,172570.36466874543,266545.58413574303
6,256078.3589688863,185792.38257362164,235055.6814190545,126056.7395308202
7,143291.99456168563,114062.79079376068,243464.96675802898,525345.6354795282
8,378418.78903556056,45043.80975621183,199826.6291519135,161196.7628693994
9,153143.62995685491,132996.88126729222,206775.5040658597,106342.23471159194
10,298843.68350299797,476539.491521529,233405.64560350592,539473.6482940968
11,227088.33138943167,529080.881662486,336899.3157924409,269010.29273195646
12,486514.40538565256,288360.88398961,373247.60799216543,156061.96041671323
13,130631.77619365494,370318.4940624008,547530.7033116666,240742.93356749293
14,304678.10321718495,174469.97301436472,312317.7753445649,376037.8386681394
15,166252.8464490396,649624.5651697563,168470.3079060932,493920.6186008475
16,190269.89447255104,460167.4558903408,339695.882690028,134987.03946553112
17,429826.02934936626,343972.54715631704,172715.22798549832,94519.60438949274
18,558649.5262367197,269108.41221279814,106001.5343379599,195542.97075487222
