,1,2,3,4
1,266148.9183171886,111466.35769378241,172920.12078708792,439934.4947929169
2,208549.42596314446,83234.69993698897,303051.19429669663,176941.65035168306
3,82064.60107575072,391612.1828152017,242513.6889812178,262016.92991405007
4,355063.28413752257,95392.5551077288,271485.19536666793,157116.55485460052
5,201242.33015757587,231996.800667974,372545.0760234747,404565.79937086464
6,84094.20219011814,198680.66286990643,154981.32340483897,486441.2744488203
7,184656.2953908221,259938.94896782667,180555.6150257262,463321.44553730346
8,139070.09807137595,198060.51715038432,211236.66220564945,387202.79549473774
9,196669.97227216186,133104.14361697942,133398.01440481003,154648.18827768503
10,434605.2372429274,160790.60732164592,192880.73461715842,145656.57037397934
11,213672.3219820326,337665.40639974066,244794.72814212882,243091.1503961976
12,463530.2535469836,326687.96292688313,144848.46348991047,328404.2251401245
13,625917.5083352071,182898.4639532917,78700.86590698903,439995.6403657166
14,166005.49345205433,360318.50359046843,394843.18298684596,207938.85541463236
15,172011.08640422224,361811.04384364473,178213.28050699522,222341.52605068972
