,1,2,3,4
1,10021.479002649328,12640.324045688936,13580.078962566704,12358.148475648886
2,8565.089209281212,11211.47332069327,13546.094963967034,10990.011132589709
3,12338.181482763273,11135.49165618183,10022.776986169822,10512.204413299045
4,9544.473193119868,12153.676956711382,9285.214798268596,12264.829225200556
5,9650.029514958445,10702.009699583054,10729.252917810341,11229.522911181817
6,9278.82867442052,10954.44735905235,13624.976731048999,12058.133881755304
7,12197.105845897331,8849.077540107497,10213.432638039096,12460.338536390529
8,12877.672184287465,12646.776873572528,10834.871837367775,12442.157286278989
9,13255.169194577018,8930.526975008454,12927.945874541238,11921.127518229086
10,9948.338892081329,12608.964283047222,12761.7002515618,12845.67859844002
11,8154.540695991702,12146.94969295998,12937.499224731786,11008.513303951233
12,9126.49775381841,12695.8172851764,10205.298056593114,13018.58733876734
13,12706.096197946237,10288.040795278455,11119.10888225939,12907.736639001385
14,13744.016002800176,10846.8069682296,12229.778143046398,8386.37619270849
15,10785.338137292347,12731.93354918374,11014.655560777224,13443.107048940428
16,12604.948208573787,9998.687945547532,8630.893222748371,8165.666317832721
17,12184.76867091667,12947.660945633059,11189.50441096472,8514.952812370922
18,10442.78547319528,11102.416360843052,9625.567362357055,12462.418165141993
19,8192.864251179248,12865.901334868362,8545.825282642929,10829.695551296445
20,12812.540701228703,13815.89932229976,8125.699992227612,10285.180719440425
21,11365.89235423034,10027.32901194865,11304.470109064707,12767.023812633892
22,8144.442146265192,11344.21754013871,8450.218861617723,11981.219072676735
23,13218.826558386869,11195.225105665344,8988.349348796452,9038.900891710864
24,8167.338364481804,11983.062517985229,13667.116850735714,8057.25398465708
25,11738.758078008057,12255.968151333997,11464.131183424559,12610.828256373581
26,11525.768848762415,9476.61692804029,11290.089127174499,8437.899025603967
27,11023.715923386284,10065.35753324087,10242.745492469725,12654.929942984894
28,13608.779679426123,11073.649720215977,10084.845589379562,10779.156572379108
29,8357.086372351914,10941.747178974227,13533.644852688578,13716.719701260268
30,13291.475984850447,9429.960227951397,10000.267397773649,13248.846263621832
31,10708.968497021213,13065.541207762202,9424.14313615521,11114.588426821716
32,10582.848334282982,11031.60439303791,8484.009844989,13765.692596376604
33,8813.80172613716,11046.662144958867,10962.60850092418,12095.875032999367
34,9396.960569046145,12328.217645911065,10292.562717276225,12891.900320385153
35,10862.70739974724,9690.915007223859,13898.701639318675,13236.824257452023
36,9889.28427181869,11512.664226285695,13670.329936869914,9267.962337713183
37,9021.115781536957,8895.039437865677,12358.02233697578,9831.96166054942
38,10170.087271130433,13950.046454229814,8984.196953620336,13992.46266788768
39,11207.469617313462,9462.127620031497,11177.93514453692,11393.55193150544
40,8952.36155231413,9948.914675289123,10251.923112805433,11431.127463279241
41,10343.403565057473,13346.16621825524,13554.012557264829,8855.579338099877
42,11119.584407269049,10099.033730301906,8283.329481744568,12674.66406618528
43,12080.897445166484,8481.741981134668,10088.277701138792,12081.413677020919
44,11228.117703852127,13274.171193702743,9998.642105462402,10409.698601415646
45,13570.660704961952,10995.49953266723,10032.397672526009,12653.032713119792
46,13910.432907249433,10738.590463765537,11163.057869765718,8798.619277942156
47,10342.383270775694,13369.614336361756,11935.27355288826,12113.184182673973
48,8620.133223595307,9372.287099665651,10191.081450134909,9473.051678983298
49,9284.616899605759,12623.628968610741,11697.12898268406,13886.282042869949
50,9873.39972800783,12655.121347579816,9447.293026650266,13134.877602549643
51,9991.406261443204,10333.166293608201,9851.738126407678,11267.436854215171
52,10042.680410922114,10175.69461331729,13202.747868719165,8717.363658722928
53,9468.173299725195,11877.988099555088,8554.526119166887,12315.254981925415
54,8207.52865180698,11594.410091839616,13292.554251069427,8434.376004268008
55,13192.49120039657,12745.923663980557,11831.855213843884,9967.983216027678
56,11946.236467677965,8056.116310037722,12358.308690387556,11691.155736990577
57,10101.015968985379,12837.34257399344,11140.473253026634,12307.51726698994
58,10053.648750376498,8137.563752658552,11862.440627599817,10612.858923834896
59,10408.080226259859,10863.019248336663,10783.793973921922,12088.83115634504
60,10544.02953515946,8755.433280081443,8236.959142260728,9794.641916228733
61,8234.616238228688,13223.52982888437,13230.897399170102,12150.147291582634
62,11710.50998053417,12564.390557525878,12911.637831925022,8544.256919056583
63,8394.67903215868,11509.928819616362,11815.389486872426,8715.802004332192
64,9716.713232479648,8465.119731720848,8979.2321128661,12359.279280747498
65,9717.814197049724,12795.103286147878,9132.042862780188,9635.557028522242
66,9257.13784844161,10512.515648874973,10570.364454554194,11388.791739124286
67,13587.164950090162,8556.625234550072,12824.94081228954,10480.27900379345
68,11617.4886193194,12902.426130118984,8641.63837413964,9708.53966418556
69,10346.250963166274,10661.492422517491,9888.59628600829,8651.61186383422
70,8253.989106054492,9260.940150628234,9694.561669679253,11888.900043195976
