1,21546.962408437576
2,21811.894602312885
3,22345.87771472358
4,22036.81259400124
5,21583.932352051266
6,21477.807230850518
7,21553.659148640327
8,21479.800567004073
9,22150.637192320282
10,21450.824049923274
11,21664.462105837927
12,21866.648286235282
13,21498.240566734494
14,22440.178631422386
15,22086.007548844478
16,22035.108515393324
17,21454.331832869768
18,22460.840332975185
19,22309.906096421073
20,21856.131916510014
21,21810.169648532657
22,21617.187110313353
23,22058.50652435706
24,22419.606290492124
25,21787.043351591896
26,22241.608804116826
27,21969.350206634954
28,21640.452544923643
