1,151590.65587668377
2,137383.27246998128
3,137710.29092290037
4,180144.48332247187
5,137794.36438381366
6,130021.7899534739
7,117858.63766524794
8,251620.4580053525
9,170385.77422364065
10,189646.11606238148
11,190418.3568967456
12,220402.13470301416
13,146924.12419360937
14,148077.28731507747
15,188548.14358010382
16,131832.4582681536
17,169625.32555000862
18,168621.34586768385
19,152560.18984169044
20,177608.0981814384
21,111194.84648729161
22,246200.3124423652
23,167825.74586452183
24,228211.35938355437
25,233519.15787381824
26,209869.52808439825
27,211626.78983017462
28,117430.94252991023
