1,759932.3776736245
2,851910.1392881449
3,849543.3934956416
4,624436.1212158455
5,848937.0482459277
6,908910.8624963117
7,1021882.2005480719
8,431740.7920749777
9,664956.5127835077
10,589462.3603597766
11,586791.2460896967
12,498996.68059022905
13,787872.2869693435
14,780778.5603234575
15,593302.2926026725
16,894194.7762627059
17,668336.0562953458
18,672850.857433555
19,754374.2968339488
20,634485.1638580146
21,1096553.1918948449
22,442086.0383447947
23,676472.1491183763
24,480281.19261152344
25,468342.04947125266
26,526677.4558766973
27,521847.70244610886
28,1026367.9833467803
